config_id,input_mode,routing_mode,ffn_mode,transition_mode,final_mode,n_subs,sub_dim,head_dim,val_loss_1k,val_loss_5k,val_loss_final,train_loss_final,router_entropy_mean,router_entropy_min,load_balance_score,grad_norm_mean,wall_time_min,flops_per_token,active_flops_per_token,total_flops,active_total_flops,params_full,active_params,params_transformer,params_value_embeds,params_total_sp
base,fixed_slice,soft_weighted,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.19382768174547,4.018029,1.9862,1.75,0.8797,,12.9,2.7235e+08,2.7235e+08,1.1995E+017,1.1995E+017,45392400,45392400,3449344,8388608,45392400
base,fixed_slice,soft_weighted,standard,cross_attend,aggregate_proj,8,64,16,,,1.19612892186788,3.949230,2.0781,2.0781,1,,13.25,2.7076e+08,2.7076e+08,1.1924E+017,1.1924E+017,45126672,45126672,3183616,8388608,45126672
base,learned_proj,soft_weighted,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.193281924813764,4.018234,2.0153,1.8984,0.8926,,13.02,2.7393e+08,2.7393e+08,1.2064e+17,1.2064e+17,45654544,45654544,3711488,8388608,45654544
base,learned_proj,soft_weighted,standard,cross_attend,aggregate_proj,8,64,16,,,1.196739899431634,3.949699,2.0781,2.0781,1.0000,,13.12,2.7233e+08,2.7233e+08,1.1994e+17,1.1994e+17,45388816,45388816,3445760,8388608,45388816
base,rotated_slice,soft_weighted,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.1959331435063374,4.026781,2.0182,1.8906,0.8761,,12.80,2.7393e+08,2.7393e+08,1.2064e+17,1.2064e+17,45654544,45654544,3711488,8388608,45654544
base,fixed_slice,topk_hard,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.194496426154748,4.022048,1.9867,1.7500,0.8855,,12.67,2.7235e+08,1.9167e+08,1.1995e+17,8.4416e+16,45392400,43548228,3449344,8388608,45392400
base,fixed_slice,soft_weighted,standard,concat_proj,aggregate_proj,8,64,16,,,1.203802828020301,3.972033,2.0390,2.0156,0.6671,,12.50,2.7390e+08,2.7390e+08,1.2063e+17,1.2063e+17,45650448,45650448,3707392,8388608,45650448
base,learned_proj,soft_weighted,standard,concat_proj,aggregate_proj,8,64,16,,,1.206111871325474,3.979943,2.0409,2.0312,0.6971,,12.73,2.7548e+08,2.7548e+08,1.2132e+17,1.2132e+17,45912592,45912592,3969536,8388608,45912592
base,fixed_slice,soft_weighted,standard,free_for_all,aggregate_proj,8,64,16,,,1.1935867148031536,4.019425,2.0781,2.0781,1.0000,,15.28,2.7095e+08,2.7095e+08,1.1933e+17,1.1933e+17,45158928,45158928,3215872,8388608,45158928
base,learned_proj,soft_weighted,standard,free_for_all,aggregate_proj,8,64,16,,,1.193984327727791,4.021078,2.0781,2.0781,1.0000,,15.31,2.7253e+08,2.7253e+08,1.2002e+17,1.2002e+17,45421072,45421072,3478016,8388608,45421072
base,fixed_slice,soft_weighted,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.1940580503350833,4.019699,1.9869,1.7578,0.8842,,14.84,2.7235e+08,2.7235e+08,1.1995e+17,1.1995e+17,45392400,45392400,3449344,8388608,45392400
base,fixed_slice,soft_weighted,standard,aggregate_distribute,aggregate_proj,8,64,16,,,1.1938599426652508,4.019207,1.9838,1.7578,0.8841,,14.71,2.7235e+08,2.7235e+08,1.1995e+17,1.1995e+17,45392400,45392400,3449344,8388608,45392400
base,fixed_slice,soft_weighted,standard,aggregate_distribute,concat_proj,8,64,16,,,1.1619190698452015,3.905169,2.0074,1.8750,0.8869,,14.70,2.7373e+08,2.7373e+08,1.2055e+17,1.2055e+17,45621264,45621264,3678208,8388608,45621264
base,learned_proj,soft_weighted,standard,aggregate_distribute,concat_proj,8,64,16,,,1.1584671514288785,3.894878,2.0143,1.9141,0.8981,,14.88,2.7530e+08,2.7530e+08,1.2124e+17,1.2124e+17,45883408,45883408,3940352,8388608,45883408
base,learned_proj,soft_weighted,standard,free_for_all,concat_proj,8,64,16,,,1.1109514752113978,3.737380,,,,,15.74,2.7390e+08,2.7390e+08,1.2063e+17,1.2063e+17,45649936,45649936,3706880,8388608,45649936
base,fixed_slice,soft_weighted,standard,free_for_all,concat_proj,8,64,16,,,1.1484859489525026,3.860414,,,,,15.40,2.7233e+08,2.7233e+08,1.1993e+17,1.1993e+17,45387792,45387792,3444736,8388608,45387792
base,learned_proj,topk_hard,standard,free_for_all,concat_proj,8,64,16,,,1.10879523452987,3.730837,,,,,15.45,2.7390e+08,1.6928e+08,1.2063e+17,7.4552e+16,45649936,42893840,3706880,8388608,45649936
